File,FLOPS,mean_time [s],std_dev,min,max,num_runs
/data/egentili/adder_dcop_32.mtx,1522433514.755276,0.000015,0.000000,0.000014,0.000030,1000
/data/egentili/af_1_k101.mtx,1680971963.302791,0.020882,0.000000,0.020478,0.022724,1000
/data/egentili/af23560.mtx,2206899372.351638,0.000417,0.000000,0.000404,0.000492,1000
/data/egentili/amazon0302.mtx,868156219.492550,0.002845,0.000000,0.002774,0.003133,1000
/data/egentili/bcsstk17.mtx,2004329342.594788,0.000428,0.000000,0.000412,0.000495,1000
/data/egentili/cage4.mtx,1329988545.687798,0.000000,0.000000,0.000000,0.000000,1000
/data/egentili/cant.mtx,1656980821.265440,0.004837,0.000000,0.004672,0.005315,1000
/data/egentili/cavity10.mtx,2019552870.662384,0.000075,0.000000,0.000073,0.000106,1000
/data/egentili/cop20k_A.mtx,1169409954.631871,0.004488,0.000000,0.004390,0.005081,1000
/data/egentili/Cube_Coup_dt0.mtx,1480010183.939086,0.168115,0.000016,0.161543,0.236371,1000
/data/egentili/dc1.mtx,1847651865.735493,0.000830,0.000000,0.000814,0.001308,1000
/data/egentili/FEM_3D_thermal1.mtx,2213450643.639988,0.000389,0.000000,0.000383,0.000449,1000
/data/egentili/lung2.mtx,2080972799.723808,0.000473,0.000000,0.000465,0.000589,1000
/data/egentili/mac_econ_fwd500.mtx,1659145945.975959,0.001535,0.000000,0.001477,0.001679,1000
/data/egentili/mcfe.mtx,2014132225.782685,0.000024,0.000000,0.000024,0.000030,1000
/data/egentili/mhd4800a.mtx,2168527657.360846,0.000094,0.000000,0.000092,0.000114,1000
/data/egentili/mhda416.mtx,2214081150.602513,0.000008,0.000000,0.000008,0.000013,1000
/data/egentili/ML_Laplace.mtx,1723569099.354589,0.032006,0.000000,0.031907,0.035886,1000
/data/egentili/nlpkkt80.mtx,1791010712.557658,0.031482,0.000000,0.031278,0.032250,1000
/data/egentili/olafu.mtx,1896179380.685611,0.001071,0.000000,0.001064,0.001209,1000
/data/egentili/olm1000.mtx,2300363713.456587,0.000003,0.000000,0.000003,0.000010,1000
/data/egentili/PR02R.mtx,1720088286.321680,0.009517,0.000000,0.009474,0.010243,1000
/data/egentili/raefsky2.mtx,1813166840.239906,0.000324,0.000000,0.000322,0.000389,1000
/data/egentili/rdist2.mtx,2203645969.879331,0.000052,0.000000,0.000051,0.000057,1000
/data/egentili/roadNet-PA.mtx,723838377.438255,0.008521,0.000000,0.007999,0.009296,1000
/data/egentili/thermal1.mtx,1576283371.598243,0.000729,0.000000,0.000724,0.000838,1000
/data/egentili/thermal2.mtx,1125202361.551060,0.015251,0.000000,0.015163,0.015914,1000
/data/egentili/thermomech_TK.mtx,1381233919.685723,0.001030,0.000000,0.001022,0.001328,1000
/data/egentili/webbase-1M.mtx,1062960886.666535,0.005843,0.000000,0.005780,0.006128,1000
/data/egentili/west2021.mtx,2203952003.768230,0.000007,0.000000,0.000007,0.000012,1000
